GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Yawg CLI,com.varmateo.yawg.cli,BakerCli,234,0,0,0,47,0,19,0,19,0
Yawg CLI,com.varmateo.yawg.cli,CliParameterSet,79,199,6,14,19,59,8,18,3,13
Yawg CLI,com.varmateo.yawg.cli,CliParameter,0,159,0,16,0,43,0,19,0,11
Yawg CLI,com.varmateo.yawg.cli,BakerCliBakeOptionsParser,94,0,2,0,30,0,9,0,8,0
Yawg CLI,com.varmateo.yawg.cli,BakerCliAction,49,0,6,0,14,0,9,0,6,0
Yawg CLI,com.varmateo.yawg.cli,BakerCliRunOptions.Builder,39,0,0,0,12,0,5,0,5,0
Yawg CLI,com.varmateo.yawg.cli,CliParameter.Builder,0,41,0,0,0,15,0,6,0,6
Yawg CLI,com.varmateo.yawg.cli,CliException,56,46,0,0,9,8,4,4,4,4
Yawg CLI,com.varmateo.yawg.cli,BakerCliBakeOptions,5,0,0,0,1,0,1,0,1,0
Yawg CLI,com.varmateo.yawg.cli,BakerCliParameters,120,0,0,0,44,0,5,0,5,0
Yawg CLI,com.varmateo.yawg.cli,InfoPrinter,80,0,0,0,19,0,6,0,6,0
Yawg CLI,com.varmateo.yawg.cli,BakerCliAction.PrintHelp,9,0,0,0,5,0,3,0,3,0
Yawg CLI,com.varmateo.yawg.cli,BakerCliBakeOptions_Builder.Property,79,0,0,0,10,0,5,0,5,0
Yawg CLI,com.varmateo.yawg.cli,BakerCliBakeOptions_Builder.Value,175,0,12,0,30,0,16,0,10,0
Yawg CLI,com.varmateo.yawg.cli,InfoPrinter.Builder,25,0,0,0,9,0,4,0,4,0
Yawg CLI,com.varmateo.yawg.cli,CliInfoPrinter.Builder,41,0,0,0,15,0,6,0,6,0
Yawg CLI,com.varmateo.yawg.cli,CliInfoPrinter,111,0,0,0,29,0,7,0,7,0
Yawg CLI,com.varmateo.yawg.cli,Main,49,0,0,0,18,0,6,0,6,0
Yawg CLI,com.varmateo.yawg.cli,BakerCliBakeOptions.Builder,3,0,0,0,2,0,1,0,1,0
Yawg CLI,com.varmateo.yawg.cli,BakerCliRunOptions,23,0,0,0,6,0,2,0,2,0
Yawg CLI,com.varmateo.yawg.cli,BakerCliAction.PrintVersion,9,0,0,0,5,0,3,0,3,0
Yawg CLI,com.varmateo.yawg.cli,BakerCliBakeOptions_Builder.Rebuildable,3,0,0,0,1,0,1,0,1,0
Yawg CLI,com.varmateo.yawg.cli,BakerCliBakeOptions_Builder.Partial,268,0,34,0,51,0,27,0,10,0
Yawg CLI,com.varmateo.yawg.cli,BakerCliAction.Bake,14,0,0,0,6,0,3,0,3,0
Yawg CLI,com.varmateo.yawg.cli,BakerCliBakeOptions_Builder,462,0,64,0,98,0,54,0,22,0
